,Year,State Code,Nameplate Capacity (Megawatts),Summer Capacity (Megawatts)
24111,2007,AK,398.0,397.0
24134,2007,AL,"3,280.0","3,272.0"
24161,2007,AR,"1,309.0","1,321.0"
24190,2007,AZ,"2,718.0","2,720.0"
24237,2007,CA,"10,032.0","10,041.0"
24270,2007,CO,649.0,665.0
24301,2007,CT,119.0,122.0
24361,2007,FL,56.0,55.0
24393,2007,GA,"1,932.0","2,032.0"
24423,2007,HI,25.0,24.0
24450,2007,IA,131.0,131.0
24473,2007,ID,"2,516.0","2,367.0"
24507,2007,IL,38.0,33.0
24538,2007,IN,92.0,60.0
24558,2007,KS,3.0,3.0
24579,2007,KY,777.0,817.0
24608,2007,LA,192.0,192.0
24645,2007,MA,272.0,259.0
24677,2007,MD,527.0,590.0
24704,2007,ME,719.0,718.0
24744,2007,MI,374.0,249.0
24784,2007,MN,186.0,176.0
24813,2007,MO,499.0,552.0
24861,2007,MT,"2,548.0","2,620.0"
24896,2007,NC,"1,828.0","1,960.0"
24920,2007,ND,614.0,486.0
24942,2007,NE,327.0,273.0
24970,2007,NH,445.0,494.0
25004,2007,NJ,13.0,4.0
25032,2007,NM,79.0,82.0
25054,2007,NV,"1,047.0","1,048.0"
25092,2007,NY,"4,654.0","4,301.0"
25125,2007,OH,128.0,101.0
25157,2007,OK,790.0,851.0
25187,2007,OR,"8,261.0","8,385.0"
25222,2007,PA,775.0,748.0
25241,2007,RI,4.0,4.0
25269,2007,SC,"1,363.0","1,337.0"
25289,2007,SD,"1,598.0","1,463.0"
25315,2007,TN,"2,418.0","2,635.0"
25357,2007,TX,672.0,673.0
25423,2007,US,"77,644.0","77,885.0"
25455,2007,UT,262.0,255.0
25487,2007,VA,741.0,675.0
25507,2007,VT,300.0,308.0
25540,2007,WA,"20,807.0","21,333.0"
25583,2007,WI,505.0,488.0
25608,2007,WV,325.0,264.0
25630,2007,WY,299.0,303.0
