,0
0,0.85
1,0.85
2,0.85
3,0.85
4,0.85
5,0.85
6,0.85
7,0.85
8,0.85
9,0.85
10,0.85
11,0.85
12,0.85
13,0.85
14,0.85
15,0.85
16,0.85
17,0.85
18,0.85
19,0.85
20,0.85
21,0.85
22,0.85
23,0.85
24,0.85
25,0.85
26,0.85
27,0.85
28,0.85
29,0.85
30,0.85
31,0.85
32,0.85
33,0.85
34,0.85
35,0.85
36,0.85
37,0.85
38,0.85
39,0.85
40,0.85
41,0.85
42,0.85
43,0.85
44,0.85
45,0.85
46,0.85
47,0.85
48,0.85
49,0.85
50,0.85
51,0.85
52,0.85
53,0.85
54,0.85
55,0.85
56,0.85
57,0.85
58,0.85
59,0.85
60,0.85
61,0.85
62,0.85
63,0.85
64,0.85
65,0.85
66,0.85
67,0.85
68,0.85
69,0.85
70,0.85
71,0.85
72,0.7826156959776366
73,0.7826156959776366
74,0.7826156959776366
75,0.7826156959776366
76,0.7826156959776366
77,0.7826156959776366
78,0.7826156959776366
79,0.7826156959776366
80,0.7826156959776366
81,0.7826156959776366
82,0.7826156959776366
83,0.7826156959776366
84,0.7826156959776366
85,0.7826156959776366
86,0.7826156959776366
87,0.7826156959776366
88,0.7826156959776366
89,0.7826156959776366
90,0.7826156959776366
91,0.7826156959776366
92,0.7826156959776366
93,0.7826156959776366
94,0.7826156959776366
95,0.7826156959776366
96,0.703131472296395
97,0.703131472296395
98,0.703131472296395
99,0.703131472296395
100,0.703131472296395
101,0.703131472296395
102,0.703131472296395
103,0.703131472296395
104,0.703131472296395
105,0.703131472296395
106,0.703131472296395
107,0.703131472296395
108,0.703131472296395
109,0.703131472296395
110,0.703131472296395
111,0.703131472296395
112,0.703131472296395
113,0.703131472296395
114,0.703131472296395
115,0.703131472296395
116,0.703131472296395
117,0.703131472296395
118,0.703131472296395
119,0.703131472296395
120,0.6371628767159945
121,0.6371628767159945
122,0.6371628767159945
123,0.6371628767159945
124,0.6371628767159945
125,0.6371628767159945
126,0.6371628767159945
127,0.6371628767159945
128,0.6371628767159945
129,0.6371628767159945
130,0.6371628767159945
131,0.6371628767159945
132,0.6371628767159945
133,0.6371628767159945
134,0.6371628767159945
135,0.6371628767159945
136,0.6371628767159945
137,0.6371628767159945
138,0.6371628767159945
139,0.6371628767159945
140,0.6371628767159945
141,0.6371628767159945
142,0.6371628767159945
143,0.6371628767159945
144,0.5875729020615643
145,0.5875729020615643
146,0.5875729020615643
147,0.5875729020615643
148,0.5875729020615643
149,0.5875729020615643
150,0.5875729020615643
151,0.5875729020615643
152,0.5875729020615643
153,0.5875729020615643
154,0.5875729020615643
155,0.5875729020615643
156,0.5875729020615643
157,0.5875729020615643
158,0.5875729020615643
159,0.5875729020615643
160,0.5875729020615643
161,0.5875729020615643
162,0.5875729020615643
163,0.5875729020615643
164,0.5875729020615643
165,0.5875729020615643
166,0.5875729020615643
167,0.5875729020615643
168,0.5590907525409016
169,0.5590907525409016
170,0.5590907525409016
171,0.5590907525409016
172,0.5590907525409016
173,0.5590907525409016
174,0.5590907525409016
175,0.5590907525409016
176,0.5590907525409016
177,0.5590907525409016
178,0.5590907525409016
179,0.5590907525409016
180,0.5590907525409016
181,0.5590907525409016
182,0.5590907525409016
183,0.5590907525409016
184,0.5590907525409016
185,0.5590907525409016
186,0.5590907525409016
187,0.5590907525409016
188,0.5590907525409016
189,0.5590907525409016
190,0.5590907525409016
191,0.5590907525409016
192,0.5106753112153113
193,0.5106753112153113
194,0.5106753112153113
195,0.5106753112153113
196,0.5106753112153113
197,0.5106753112153113
198,0.5106753112153113
199,0.5106753112153113
200,0.5106753112153113
201,0.5106753112153113
202,0.5106753112153113
203,0.5106753112153113
204,0.5106753112153113
205,0.5106753112153113
206,0.5106753112153113
207,0.5106753112153113
208,0.5106753112153113
209,0.5106753112153113
210,0.5106753112153113
211,0.5106753112153113
212,0.5106753112153113
213,0.5106753112153113
214,0.5106753112153113
215,0.5106753112153113
216,0.46994734698535645
217,0.46994734698535645
218,0.46994734698535645
219,0.46994734698535645
220,0.46994734698535645
221,0.46994734698535645
222,0.46994734698535645
223,0.46994734698535645
224,0.46994734698535645
225,0.46994734698535645
226,0.46994734698535645
227,0.46994734698535645
