,California,Southwest,Southeast,Texas,Northeast,Atlantic,Northwest,North Central,Central
Capacities  (MW),324133.24,554313.39,33584.36,37114.60999999999,16767.5,69708.54000000001,209509.74000000002,0.0,8174.129999999999
Costs ($/kW),3221.439204391596,3416.709400174872,3846.171362571447,3910.0566730942346,3480.5876290842402,3458.456786941599,3312.8303374415427,,3767.4283772303597
