,0
0,0.8245842647942679
1,0.8245842647942679
2,0.8245842647942679
3,0.8245842647942679
4,0.8245842647942679
5,0.8245842647942679
6,0.8245842647942679
7,0.8245842647942679
8,0.8245842647942679
9,0.8245842647942679
10,0.8245842647942679
11,0.8245842647942679
12,0.8245842647942679
13,0.8245842647942679
14,0.8245842647942679
15,0.8245842647942679
16,0.8245842647942679
17,0.8245842647942679
18,0.8245842647942679
19,0.8245842647942679
20,0.8245842647942679
21,0.8245842647942679
22,0.8245842647942679
23,0.8245842647942679
24,0.85
25,0.85
26,0.85
27,0.85
28,0.85
29,0.85
30,0.85
31,0.85
32,0.85
33,0.85
34,0.85
35,0.85
36,0.85
37,0.85
38,0.85
39,0.85
40,0.85
41,0.85
42,0.85
43,0.85
44,0.85
45,0.85
46,0.85
47,0.85
48,0.85
49,0.85
50,0.85
51,0.85
52,0.85
53,0.85
54,0.85
55,0.85
56,0.85
57,0.85
58,0.85
59,0.85
60,0.85
61,0.85
62,0.85
63,0.85
64,0.85
65,0.85
66,0.85
67,0.85
68,0.85
69,0.85
70,0.85
71,0.85
72,0.85
73,0.85
74,0.85
75,0.85
76,0.85
77,0.85
78,0.85
79,0.85
80,0.85
81,0.85
82,0.85
83,0.85
84,0.85
85,0.85
86,0.85
87,0.85
88,0.85
89,0.85
90,0.85
91,0.85
92,0.85
93,0.85
94,0.85
95,0.85
96,0.85
97,0.85
98,0.85
99,0.85
100,0.85
101,0.85
102,0.85
103,0.85
104,0.85
105,0.85
106,0.85
107,0.85
108,0.85
109,0.85
110,0.85
111,0.85
112,0.85
113,0.85
114,0.85
115,0.85
116,0.85
117,0.85
118,0.85
119,0.85
120,0.85
121,0.85
122,0.85
123,0.85
124,0.85
125,0.85
126,0.85
127,0.85
128,0.85
129,0.85
130,0.85
131,0.85
132,0.85
133,0.85
134,0.85
135,0.85
136,0.85
137,0.85
138,0.85
139,0.85
140,0.85
141,0.85
142,0.85
143,0.85
144,0.85
145,0.85
146,0.85
147,0.85
148,0.85
149,0.85
150,0.85
151,0.85
152,0.85
153,0.85
154,0.85
155,0.85
156,0.85
157,0.85
158,0.85
159,0.85
160,0.85
161,0.85
162,0.85
163,0.85
164,0.85
165,0.85
166,0.85
167,0.85
168,0.85
169,0.85
170,0.85
171,0.85
172,0.85
173,0.85
174,0.85
175,0.85
176,0.85
177,0.85
178,0.85
179,0.85
180,0.85
181,0.85
182,0.85
183,0.85
184,0.85
185,0.85
186,0.85
187,0.85
188,0.85
189,0.85
190,0.85
191,0.85
192,0.85
193,0.85
194,0.85
195,0.85
196,0.85
197,0.85
198,0.85
199,0.85
200,0.85
201,0.85
202,0.85
203,0.85
204,0.85
205,0.85
206,0.85
207,0.85
208,0.85
209,0.85
210,0.85
211,0.85
212,0.85
213,0.85
214,0.85
215,0.85
216,0.85
217,0.85
218,0.85
219,0.85
220,0.85
221,0.85
222,0.85
223,0.85
224,0.85
225,0.85
226,0.85
227,0.85
228,0.85
229,0.85
230,0.85
231,0.85
232,0.85
233,0.85
234,0.85
235,0.85
236,0.85
237,0.85
238,0.85
239,0.85
240,0.85
241,0.85
242,0.85
243,0.85
244,0.85
245,0.85
246,0.85
247,0.85
248,0.85
249,0.85
250,0.85
251,0.85
252,0.85
253,0.85
254,0.85
255,0.85
256,0.85
257,0.85
258,0.85
259,0.85
260,0.85
261,0.85
262,0.85
263,0.85
264,0.85
265,0.85
266,0.85
267,0.85
268,0.85
269,0.85
270,0.85
271,0.85
272,0.85
273,0.85
274,0.85
275,0.85
276,0.85
277,0.85
278,0.85
279,0.85
280,0.85
281,0.85
282,0.85
283,0.85
284,0.85
285,0.85
286,0.85
287,0.85
288,0.85
289,0.85
290,0.85
291,0.85
292,0.85
293,0.85
294,0.85
295,0.85
296,0.85
297,0.85
298,0.85
299,0.85
300,0.85
301,0.85
302,0.85
303,0.85
304,0.85
305,0.85
306,0.85
307,0.85
308,0.85
309,0.85
310,0.85
311,0.85
312,0.85
313,0.85
314,0.85
315,0.85
316,0.85
317,0.85
318,0.85
319,0.85
320,0.85
321,0.85
322,0.85
323,0.85
324,0.85
325,0.85
326,0.85
327,0.85
328,0.85
329,0.85
330,0.85
331,0.85
332,0.85
333,0.85
334,0.85
335,0.85
336,0.85
337,0.85
338,0.85
339,0.85
340,0.85
341,0.85
342,0.85
343,0.85
344,0.85
345,0.85
346,0.85
347,0.85
348,0.85
349,0.85
350,0.85
351,0.85
352,0.85
353,0.85
354,0.85
355,0.85
356,0.85
357,0.85
358,0.85
359,0.85
360,0.85
361,0.85
362,0.85
363,0.85
364,0.85
365,0.85
366,0.85
367,0.85
368,0.85
369,0.85
370,0.85
371,0.85
372,0.85
373,0.85
374,0.85
375,0.85
376,0.85
377,0.85
378,0.85
379,0.85
380,0.85
381,0.85
382,0.85
383,0.85
384,0.85
385,0.85
386,0.85
387,0.85
388,0.85
389,0.85
390,0.85
391,0.85
392,0.85
393,0.85
394,0.85
395,0.85
396,0.85
397,0.85
398,0.85
399,0.85
400,0.85
401,0.85
402,0.85
403,0.85
404,0.85
405,0.85
406,0.85
407,0.85
408,0.8267784058684013
409,0.8267784058684013
410,0.8267784058684013
411,0.8267784058684013
412,0.8267784058684013
413,0.8267784058684013
414,0.8267784058684013
415,0.8267784058684013
416,0.8267784058684013
417,0.8267784058684013
418,0.8267784058684013
419,0.8267784058684013
420,0.8267784058684013
421,0.8267784058684013
422,0.8267784058684013
423,0.8267784058684013
424,0.8267784058684013
425,0.8267784058684013
426,0.8267784058684013
427,0.8267784058684013
428,0.8267784058684013
429,0.8267784058684013
430,0.8267784058684013
431,0.8267784058684013
432,0.784032938250191
433,0.784032938250191
434,0.784032938250191
435,0.784032938250191
436,0.784032938250191
437,0.784032938250191
438,0.784032938250191
439,0.784032938250191
440,0.784032938250191
441,0.784032938250191
442,0.784032938250191
443,0.784032938250191
444,0.784032938250191
445,0.784032938250191
446,0.784032938250191
447,0.784032938250191
448,0.784032938250191
449,0.784032938250191
450,0.784032938250191
451,0.784032938250191
452,0.784032938250191
453,0.784032938250191
454,0.784032938250191
455,0.784032938250191
456,0.8174589637228394
457,0.8174589637228394
458,0.8174589637228394
459,0.8174589637228394
460,0.8174589637228394
461,0.8174589637228394
462,0.8174589637228394
463,0.8174589637228394
464,0.8174589637228394
465,0.8174589637228394
466,0.8174589637228394
467,0.8174589637228394
468,0.8174589637228394
469,0.8174589637228394
470,0.8174589637228394
471,0.8174589637228394
472,0.8174589637228394
473,0.8174589637228394
474,0.8174589637228394
475,0.8174589637228394
476,0.8174589637228394
477,0.8174589637228394
478,0.8174589637228394
479,0.8174589637228394
480,0.7882567739039819
481,0.7882567739039819
482,0.7882567739039819
483,0.7882567739039819
484,0.7882567739039819
485,0.7882567739039819
486,0.7882567739039819
487,0.7882567739039819
488,0.7882567739039819
489,0.7882567739039819
490,0.7882567739039819
491,0.7882567739039819
492,0.7882567739039819
493,0.7882567739039819
494,0.7882567739039819
495,0.7882567739039819
496,0.7882567739039819
497,0.7882567739039819
498,0.7882567739039819
499,0.7882567739039819
500,0.7882567739039819
501,0.7882567739039819
502,0.7882567739039819
503,0.7882567739039819
504,0.7666485257842204
505,0.7666485257842204
506,0.7666485257842204
507,0.7666485257842204
508,0.7666485257842204
509,0.7666485257842204
510,0.7666485257842204
511,0.7666485257842204
512,0.7666485257842204
513,0.7666485257842204
514,0.7666485257842204
515,0.7666485257842204
516,0.7666485257842204
517,0.7666485257842204
518,0.7666485257842204
519,0.7666485257842204
520,0.7666485257842204
521,0.7666485257842204
522,0.7666485257842204
523,0.7666485257842204
524,0.7666485257842204
525,0.7666485257842204
526,0.7666485257842204
527,0.7666485257842204
528,0.7448011907402686
529,0.7448011907402686
530,0.7448011907402686
531,0.7448011907402686
532,0.7448011907402686
533,0.7448011907402686
534,0.7448011907402686
535,0.7448011907402686
536,0.7448011907402686
537,0.7448011907402686
538,0.7448011907402686
539,0.7448011907402686
540,0.7448011907402686
541,0.7448011907402686
542,0.7448011907402686
543,0.7448011907402686
544,0.7448011907402686
545,0.7448011907402686
546,0.7448011907402686
547,0.7448011907402686
548,0.7448011907402686
549,0.7448011907402686
550,0.7448011907402686
551,0.7448011907402686
552,0.6970456686906586
553,0.6970456686906586
554,0.6970456686906586
555,0.6970456686906586
556,0.6970456686906586
557,0.6970456686906586
558,0.6970456686906586
559,0.6970456686906586
560,0.6970456686906586
561,0.6970456686906586
562,0.6970456686906586
563,0.6970456686906586
564,0.6970456686906586
565,0.6970456686906586
566,0.6970456686906586
567,0.6970456686906586
568,0.6970456686906586
569,0.6970456686906586
570,0.6970456686906586
571,0.6970456686906586
572,0.6970456686906586
573,0.6970456686906586
574,0.6970456686906586
575,0.6970456686906586
576,0.6586228071441182
577,0.6586228071441182
578,0.6586228071441182
579,0.6586228071441182
580,0.6586228071441182
581,0.6586228071441182
582,0.6586228071441182
583,0.6586228071441182
584,0.6586228071441182
585,0.6586228071441182
586,0.6586228071441182
587,0.6586228071441182
588,0.6586228071441182
589,0.6586228071441182
590,0.6586228071441182
591,0.6586228071441182
592,0.6586228071441182
593,0.6586228071441182
594,0.6586228071441182
595,0.6586228071441182
596,0.6586228071441182
597,0.6586228071441182
598,0.6586228071441182
599,0.6586228071441182
600,0.6900392484443439
601,0.6900392484443439
602,0.6900392484443439
603,0.6900392484443439
604,0.6900392484443439
605,0.6900392484443439
606,0.6900392484443439
607,0.6900392484443439
608,0.6900392484443439
609,0.6900392484443439
610,0.6900392484443439
611,0.6900392484443439
612,0.6900392484443439
613,0.6900392484443439
614,0.6900392484443439
615,0.6900392484443439
616,0.6900392484443439
617,0.6900392484443439
618,0.6900392484443439
