,Year,State Code,Nameplate Capacity (Megawatts),Summer Capacity (Megawatts)
25652,2008,AK,401.0,400.0
25675,2008,AL,"3,280.0","3,272.0"
25701,2008,AR,"1,309.0","1,321.0"
25730,2008,AZ,"2,718.0","2,720.0"
25778,2008,CA,"10,046.0","10,122.0"
25813,2008,CO,649.0,666.0
25843,2008,CT,119.0,122.0
25903,2008,FL,56.0,55.0
25936,2008,GA,"1,932.0","2,041.0"
25967,2008,HI,25.0,24.0
25995,2008,IA,131.0,142.0
26020,2008,ID,"2,516.0","2,346.0"
26054,2008,IL,39.0,34.0
26087,2008,IN,92.0,60.0
26108,2008,KS,3.0,3.0
26129,2008,KY,783.0,824.0
26157,2008,LA,192.0,192.0
26195,2008,MA,270.0,258.0
26228,2008,MD,527.0,590.0
26256,2008,ME,722.0,730.0
26296,2008,MI,376.0,250.0
26336,2008,MN,204.0,194.0
26365,2008,MO,499.0,566.0
26411,2008,MT,"2,547.0","2,660.0"
26448,2008,NC,"1,829.0","1,952.0"
26473,2008,ND,614.0,486.0
26495,2008,NE,327.0,278.0
26524,2008,NH,445.0,500.0
26559,2008,NJ,13.0,4.0
26587,2008,NM,79.0,82.0
26611,2008,NV,"1,051.0","1,051.0"
26649,2008,NY,"4,654.0","4,299.0"
26682,2008,OH,128.0,101.0
26715,2008,OK,790.0,851.0
26745,2008,OR,"8,240.0","8,364.0"
26780,2008,PA,775.0,751.0
26800,2008,RI,3.0,3.0
26829,2008,SC,"1,363.0","1,337.0"
26849,2008,SD,"1,598.0","1,463.0"
26874,2008,TN,"2,453.0","2,639.0"
26915,2008,TX,672.0,673.0
26980,2008,US,"77,731.0","77,930.0"
27013,2008,UT,262.0,256.0
27047,2008,VA,744.0,677.0
27068,2008,VT,315.0,322.0
27102,2008,WA,"20,810.0","21,203.0"
27146,2008,WI,511.0,485.0
27171,2008,WV,325.0,264.0
27193,2008,WY,299.0,303.0
