,Unnamed: 11
0,0.220510004
1,0.228790003
2,0.21481
3,0.200190001
4,0.230960001
5,0.364039999
6,0.521119994
7,0.630859996
8,0.623809995
9,0.632119994
10,0.649269994
11,0.573619993
12,0.559399992
13,0.498299995
14,0.495799994
15,0.3736
16,0.297220004
17,0.264750004
18,0.223350003
19,0.208090003
20,0.192830002
21,0.193720002
22,0.175860001
23,0.190880004
24,0.211580004
25,0.240560003
26,0.255820003
27,0.255820003
28,0.296890001
29,0.270470002
30,0.249770002
31,0.264420001
32,0.26631
33,0.269800001
34,0.27175
35,0.29245
36,0.28352
37,0.30422
38,0.28163
39,0.291130002
40,0.285120001
41,0.270470002
42,0.245330001
43,0.275120001
44,0.242330001
45,0.259790001
46,0.240550002
47,0.240800001
48,0.306489998
49,0.336919999
50,0.334700002
51,0.389550003
52,0.390319999
53,0.382510002
54,0.388479999
55,0.371329999
56,0.379630002
57,0.409550002
58,0.406050001
59,0.409739996
60,0.429630001
61,0.443940002
62,0.494319998
63,0.546440004
64,0.583010001
65,0.592560004
66,0.642860003
67,0.691170001
68,0.657810003
69,0.665680003
70,0.74399
71,0.759050004
72,0.807349995
73,0.841309997
74,0.799869996
75,0.873120001
76,0.861950007
77,0.872249994
78,0.831300002
79,0.802369997
80,0.776340006
81,0.831140003
82,0.741409999
83,0.669890003
84,0.615190004
85,0.472630003
86,0.409180002
87,0.316360002
88,0.221080001
89,0.136549999
90,0.09059
91,0.07409
92,0.065619999
93,0.01302
94,0.035220001
95,0.068800001
96,0.106930001
97,0.144030002
98,0.162100002
99,0.202410005
100,0.217020003
101,0.279400003
102,0.34113
103,0.411159998
104,0.472879997
105,0.490029997
106,0.471879996
107,0.535479994
108,0.518329994
109,0.474759996
110,0.547869995
111,0.558489998
112,0.501799996
113,0.36462
114,0.387529999
115,0.308229998
116,0.261119999
117,0.18873
118,0.182800003
119,0.23301
120,0.35033
121,0.34844
122,0.357619999
123,0.331569999
124,0.451839998
125,0.440079997
126,0.417449999
127,0.303889997
128,0.355189997
129,0.244009998
130,0.268079999
131,0.25093
132,0.214230001
133,0.22255
134,0.185000002
135,0.167110002
136,0.145950002
137,0.116320001
